audio_filename,start_time,end_time,duration,phoneme,previous_phoneme,next_phoneme,speaker_id,overlap,comp,ipa_phoneme
fn001155_sentence-0.wav,0.555,0.648,0.093,n,e,EOS,N00583_female_60,False,o,n
fn001155_sentence-0.wav,0.389,0.555,0.166,e,k,n,N00583_female_60,False,o,eː
fn001155_sentence-0.wav,0.317,0.389,0.072,k,Y,e,N00583_female_60,False,o,k
fn001155_sentence-1.wav,1.551,1.652,0.101,f,i,O,N00583_female_60,False,o,f
fn001155_sentence-1.wav,4.136,4.237,0.101,s,f,x,N00583_female_60,False,o,s
fn001155_sentence-1.wav,3.783,3.894,0.111,v,E+,@,N00583_female_60,False,o,v
fn001155_sentence-1.wav,1.359,1.46,0.101,y,t,n,N00583_female_60,False,o,yː
fn001155_sentence-1.wav,2.715,2.785,0.07,z,n,E+,N00583_female_60,False,o,z
fn001155_sentence-1.wav,2.512,2.593,0.081,f,t,A,N00583_female_60,False,o,f
fn001155_sentence-1.wav,4.793,4.884,0.091,E,s,l,N00583_female_60,False,o,ɛ
fn001155_sentence-1.wav,0.456,0.528,0.072,s,t,t,N00583_female_60,False,o,s
fn001155_sentence-1.wav,2.178,2.3,0.122,E+,v,j,N00583_female_60,False,o,ɛi
fn001155_sentence-1.wav,0.19,0.303,0.113,f,e,O,N00583_female_60,False,o,f
fn001155_sentence-1.wav,0.0,0.088,0.088,r,SOS,e,N00583_female_60,False,o,r
fn001155_sentence-1.wav,2.937,3.049,0.112,i,z,l,N00583_female_60,False,o,iː
fn001155_sentence-1.wav,3.049,3.15,0.101,l,i,E,N00583_female_60,False,o,l
fn001155_sentence-1.wav,4.308,4.389,0.081,Y,x,l,N00583_female_60,False,o,ʉ
fn001155_sentence-1.wav,4.237,4.308,0.071,x,s,Y,N00583_female_60,False,o,x
fn001155_sentence-1.wav,4.934,5.035,0.101,f,l,d,N00583_female_60,False,o,f
fn001155_sentence-1.wav,1.713,1.804,0.091,r,O,m,N00583_female_60,False,o,r
fn001155_sentence-1.wav,2.097,2.178,0.081,v,@,E+,N00583_female_60,False,o,v
fn001155_sentence-1.wav,1.804,1.885,0.081,m,r,v,N00583_female_60,False,o,m
fn001155_sentence-1.wav,0.088,0.19,0.102,e,r,f,N00583_female_60,False,o,eː
fn001155_sentence-10.wav,3.913,4.004,0.091,h,@,E+,N00583_female_60,False,o,h
fn001155_sentence-10.wav,3.116,3.187,0.071,t,a,s,N00583_female_60,False,o,t
fn001155_sentence-10.wav,4.84,4.921,0.081,y,@,n,N00583_female_60,False,o,yː
fn001155_sentence-10.wav,2.405,2.502,0.097,f,k,A,N00583_female_60,False,o,f
fn001155_sentence-10.wav,9.725,9.827,0.102,s,m,t,N00583_female_60,False,o,s
fn001155_sentence-10.wav,9.36,9.441,0.081,E,@,n,N00583_female_60,False,o,ɛ
fn001155_sentence-10.wav,8.25,8.358,0.108,z,@,w,N00583_female_60,False,o,z
fn001155_sentence-10.wav,12.861,12.972,0.111,a,n,r,N00583_female_60,False,o,aː
fn001155_sentence-10.wav,7.262,7.364,0.102,e,x,l,N00583_female_60,False,o,eː
fn001155_sentence-10.wav,4.004,4.105,0.101,E+,h,z,N00583_female_60,False,o,ɛi
fn001155_sentence-10.wav,9.887,9.968,0.081,I,t,k,N00583_female_60,False,o,ɪ
fn001155_sentence-10.wav,7.477,7.569,0.092,t,@,r,N00583_female_60,False,o,t
fn001155_sentence-10.wav,8.824,8.905,0.081,o,p,l,N00583_female_60,False,o,oː
fn001155_sentence-10.wav,0.264,0.345,0.081,o,h,p,N00583_female_60,False,o,oː
fn001155_sentence-10.wav,6.059,6.19,0.131,f,E+,m,N00583_female_60,False,o,f
fn001155_sentence-10.wav,1.441,1.553,0.112,f,I,t,N00583_female_60,False,o,f
fn001155_sentence-10.wav,8.418,8.53,0.112,a,w,r,N00583_female_60,False,o,aː
fn001155_sentence-10.wav,7.844,7.936,0.092,@,s,z,N00583_female_60,False,o,ə
fn001155_sentence-10.wav,8.712,8.824,0.112,p,e,o,N00583_female_60,False,o,p
fn001155_sentence-10.wav,7.701,7.844,0.143,s,E,@,N00583_female_60,False,o,s
fn001155_sentence-10.wav,14.172,14.253,0.081,@,r,l,N00583_female_60,False,o,ə
fn001155_sentence-10.wav,13.453,13.554,0.101,b,s,I,N00583_female_60,False,o,b
fn001155_sentence-10.wav,3.003,3.116,0.113,a,r,t,N00583_female_60,False,o,aː
fn001155_sentence-10.wav,10.975,11.046,0.071,b,@,E+,N00583_female_60,False,o,b
fn001155_sentence-10.wav,10.602,10.692,0.09,i,d,h,N00583_female_60,False,o,iː
fn001155_sentence-10.wav,1.299,1.38,0.081,r,d,I,N00583_female_60,False,o,r
fn001155_sentence-10.wav,4.256,4.361,0.105,x,I,d,N00583_female_60,False,o,x
fn001155_sentence-10.wav,11.126,11.207,0.081,z,E+,E+,N00583_female_60,False,o,z
fn001155_sentence-10.wav,11.046,11.126,0.08,E+,b,z,N00583_female_60,False,o,ɛi
fn001155_sentence-10.wav,3.249,3.351,0.102,i,s,r,N00583_female_60,False,o,iː
