audio_filename,start_time,end_time,duration,phoneme,previous_phoneme,next_phoneme,speaker_id,overlap,comp,ipa_phoneme
fn001155_sentence-0.wav,0.182,0.213,0.031,s,t,t,N00583_female_60,False,o,s
fn001155_sentence-0.wav,0.151,0.182,0.031,t,f,s,N00583_female_60,False,o,t
fn001155_sentence-1.wav,0.569,0.599,0.03,@,t,e,N00583_female_60,False,o,ə
fn001155_sentence-1.wav,0.303,0.344,0.041,O,f,r,N00583_female_60,False,o,ɔ
fn001155_sentence-1.wav,3.661,3.702,0.041,h,n,E+,N00583_female_60,False,o,h
fn001155_sentence-10.wav,4.981,5.021,0.04,i,n,f,N00583_female_60,False,o,iː
fn001155_sentence-10.wav,7.129,7.16,0.031,@,E,x,N00583_female_60,False,o,ə
fn001155_sentence-10.wav,11.974,12.004,0.03,l,A,s,N00583_female_60,False,o,l
fn001155_sentence-10.wav,11.489,11.52,0.031,r,a,d,N00583_female_60,False,o,r
fn001155_sentence-11.wav,1.103,1.133,0.03,@,d,z,N00583_female_60,False,o,ə
fn001155_sentence-11.wav,2.161,2.191,0.03,d,m,@,N00583_female_60,False,o,d
fn001155_sentence-11.wav,5.454,5.484,0.03,n,A,d,N00583_female_60,False,o,n
fn001155_sentence-11.wav,3.292,3.323,0.031,@,p,l,N00583_female_60,False,o,ə
fn001155_sentence-11.wav,1.032,1.062,0.03,n,Y,d,N00583_female_60,False,o,n
fn001155_sentence-11.wav,1.062,1.103,0.041,d,n,@,N00583_female_60,False,o,d
fn001155_sentence-11.wav,6.383,6.413,0.03,@,t,r,N00583_female_60,False,o,ə
fn001155_sentence-11.wav,5.484,5.515,0.031,d,n,@,N00583_female_60,False,o,d
fn001155_sentence-11.wav,4.505,4.535,0.03,r,a,l,N00583_female_60,False,o,r
fn001155_sentence-12.wav,0.461,0.501,0.04,@,x,s,N00583_female_60,False,o,ə
fn001155_sentence-12.wav,0.764,0.794,0.03,d,e,@,N00583_female_60,False,o,d
fn001155_sentence-13.wav,0.051,0.081,0.03,n,E,x,N00583_female_60,False,o,n
fn001155_sentence-13.wav,0.364,0.395,0.031,h,p,E,N00583_female_60,False,o,h
fn001155_sentence-14.wav,5.604,5.644,0.04,r,x,O,N00583_female_60,False,o,r
fn001155_sentence-14.wav,3.005,3.035,0.03,d,e,I,N00583_female_60,False,o,d
fn001155_sentence-14.wav,5.513,5.543,0.03,@,d,x,N00583_female_60,False,o,ə
fn001155_sentence-14.wav,4.988,5.019,0.031,r,E,m,N00583_female_60,False,o,r
fn001155_sentence-15.wav,0.221,0.252,0.031,d,r,@,N00583_female_60,False,o,d
fn001155_sentence-15.wav,0.191,0.221,0.03,r,E,d,N00583_female_60,False,o,r
fn001155_sentence-15.wav,3.902,3.943,0.041,@,t,b,N00583_female_60,False,o,ə
fn001155_sentence-15.wav,4.287,4.317,0.03,r,2,t,N00583_female_60,False,o,r
fn001155_sentence-16.wav,2.423,2.454,0.031,n,E+,v,N00583_female_60,False,o,n
fn001155_sentence-16.wav,2.566,2.596,0.03,r,@,b,N00583_female_60,False,o,r
fn001155_sentence-16.wav,1.029,1.06,0.031,r,@,w,N00583_female_60,False,o,r
fn001155_sentence-16.wav,4.843,4.883,0.04,r,A,p,N00583_female_60,False,o,r
fn001155_sentence-16.wav,5.813,5.843,0.03,@,v,r,N00583_female_60,False,o,ə
fn001155_sentence-17.wav,0.829,0.859,0.03,E,w,r,N00583_female_60,False,o,ɛ
fn001155_sentence-17.wav,2.467,2.497,0.03,@,d,r,N00583_female_60,False,o,ə
fn001155_sentence-17.wav,2.133,2.163,0.03,d,r,@,N00583_female_60,False,o,d
fn001155_sentence-17.wav,2.062,2.093,0.031,o,d,r,N00583_female_60,False,o,oː
fn001155_sentence-18.wav,1.41,1.44,0.03,m,@,E,N00583_female_60,False,o,m
fn001155_sentence-18.wav,1.642,1.672,0.03,@,b,d,N00583_female_60,False,o,ə
fn001155_sentence-19.wav,0.29,0.32,0.03,h,f,E+,N00583_female_60,False,o,h
fn001155_sentence-2.wav,0.047,0.077,0.03,E,t,r,N00583_female_60,False,o,ɛ
fn001155_sentence-2.wav,3.864,3.894,0.03,h,t,E,N00583_female_60,False,o,h
fn001155_sentence-2.wav,0.209,0.24,0.031,l,E+,h,N00583_female_60,False,o,l
fn001155_sentence-2.wav,2.407,2.437,0.03,r,I,p,N00583_female_60,False,o,r
fn001155_sentence-2.wav,5.89,5.92,0.03,l,a,w,N00583_female_60,False,o,l
fn001155_sentence-20.wav,2.514,2.544,0.03,r,@,d,N00583_female_60,False,o,r
fn001155_sentence-20.wav,4.503,4.543,0.04,@,G,l,N00583_female_60,False,o,ə
fn001155_sentence-20.wav,1.163,1.204,0.041,d,n,@,N00583_female_60,False,o,d
fn001155_sentence-20.wav,2.423,2.464,0.041,d,n,@,N00583_female_60,False,o,d
fn001155_sentence-20.wav,4.543,4.583,0.04,l,@,A,N00583_female_60,False,o,l
fn001155_sentence-20.wav,5.141,5.182,0.041,r,@,d,N00583_female_60,False,o,r
fn001155_sentence-20.wav,5.182,5.213,0.031,d,r,@,N00583_female_60,False,o,d
fn001155_sentence-20.wav,7.682,7.722,0.04,l,s,u,N00583_female_60,False,o,l
fn001155_sentence-20.wav,8.826,8.856,0.03,d,@,@,N00583_female_60,False,o,d
fn001155_sentence-20.wav,1.204,1.244,0.04,@,d,G,N00583_female_60,False,o,ə
fn001155_sentence-21.wav,0.511,0.542,0.031,h,N,E+,N00583_female_60,False,o,h
fn001155_sentence-22.wav,2.35,2.38,0.03,I,d,N,N00583_female_60,False,o,ɪ
fn001155_sentence-22.wav,3.048,3.078,0.03,r,a,h,N00583_female_60,False,o,r
fn001155_sentence-24.wav,7.454,7.484,0.03,h,t,E,N00583_female_60,False,o,h
fn001155_sentence-25.wav,2.267,2.297,0.03,A+,s,w,N00583_female_60,False,o,ɑu
fn001155_sentence-25.wav,7.411,7.441,0.03,I,z,x,N00583_female_60,False,o,ɪ
fn001155_sentence-26.wav,1.005,1.036,0.031,h,k,E+,N00583_female_60,False,o,h
fn001155_sentence-26.wav,1.641,1.682,0.041,d,n,@,N00583_female_60,False,o,d
fn001155_sentence-28.wav,3.782,3.822,0.04,I,m,n,N00583_female_60,False,o,ɪ
fn001155_sentence-28.wav,0.263,0.293,0.03,h,n,E+,N00583_female_60,False,o,h
fn001155_sentence-28.wav,1.463,1.504,0.041,v,N,A,N00583_female_60,False,o,v
fn001155_sentence-28.wav,0.687,0.717,0.03,r,@,l,N00583_female_60,False,o,r
fn001155_sentence-28.wav,0.586,0.616,0.03,r,E,d,N00583_female_60,False,o,r
fn001155_sentence-29.wav,0.365,0.396,0.031,h,w,E,N00583_female_60,False,o,h
fn001155_sentence-3.wav,3.251,3.281,0.03,r,x,e,N00583_female_60,False,o,r
fn001155_sentence-3.wav,4.07,4.1,0.03,r,@,d,N00583_female_60,False,o,r
fn001155_sentence-30.wav,0.342,0.382,0.04,l,A,d,N00583_female_60,False,o,l
fn001155_sentence-33.wav,0.581,0.621,0.04,d,l,@,N00583_female_60,False,o,d
fn001155_sentence-33.wav,5.648,5.678,0.03,w,r,E+,N00583_female_60,False,o,ʋ
