audio_filename,start_time,end_time,duration,phoneme,previous_phoneme,next_phoneme,speaker_id,overlap,comp,ipa_phoneme
fn001155_sentence-0.wav,0.12,0.151,0.031,f,o,t,N00583_female_60,False,o,f
fn001155_sentence-0.wav,0.265,0.317,0.052,Y,t,k,N00583_female_60,False,o,ʉ
fn001155_sentence-1.wav,2.462,2.512,0.05,t,n,f,N00583_female_60,False,o,t
fn001155_sentence-1.wav,2.006,2.047,0.041,d,n,@,N00583_female_60,False,o,d
fn001155_sentence-1.wav,2.047,2.097,0.05,@,d,v,N00583_female_60,False,o,ə
fn001155_sentence-1.wav,1.46,1.49,0.03,n,y,i,N00583_female_60,False,o,n
fn001155_sentence-1.wav,3.601,3.661,0.06,n,E,h,N00583_female_60,False,o,n
fn001155_sentence-1.wav,4.661,4.722,0.061,x,I,s,N00583_female_60,False,o,x
fn001155_sentence-1.wav,1.966,2.006,0.04,n,A,d,N00583_female_60,False,o,n
fn001155_sentence-1.wav,1.885,1.935,0.05,v,m,A,N00583_female_60,False,o,v
fn001155_sentence-1.wav,4.389,4.429,0.04,l,Y,d,N00583_female_60,False,o,l
fn001155_sentence-1.wav,2.411,2.462,0.051,n,A,t,N00583_female_60,False,o,n
fn001155_sentence-1.wav,3.995,4.025,0.03,r,@,A,N00583_female_60,False,o,r
fn001155_sentence-1.wav,1.278,1.318,0.04,@,x,t,N00583_female_60,False,o,ə
fn001155_sentence-1.wav,5.156,5.197,0.041,r,a,O,N00583_female_60,False,o,r
fn001155_sentence-1.wav,1.318,1.359,0.041,t,@,y,N00583_female_60,False,o,t
fn001155_sentence-1.wav,1.935,1.966,0.031,A,v,n,N00583_female_60,False,o,ɑ
fn001155_sentence-1.wav,0.528,0.569,0.041,t,s,@,N00583_female_60,False,o,t
fn001155_sentence-1.wav,2.826,2.877,0.051,n,E+,z,N00583_female_60,False,o,n
fn001155_sentence-1.wav,4.025,4.076,0.051,A,r,f,N00583_female_60,False,o,ɑ
fn001155_sentence-1.wav,4.429,4.47,0.041,d,l,@,N00583_female_60,False,o,d
fn001155_sentence-1.wav,1.106,1.146,0.04,r,d,u,N00583_female_60,False,o,r
fn001155_sentence-1.wav,2.785,2.826,0.041,E+,z,n,N00583_female_60,False,o,ɛi
fn001155_sentence-1.wav,0.344,0.385,0.041,r,O,t,N00583_female_60,False,o,r
fn001155_sentence-1.wav,4.884,4.934,0.05,l,E,f,N00583_female_60,False,o,l
fn001155_sentence-1.wav,4.601,4.661,0.06,I,z,x,N00583_female_60,False,o,ɪ
fn001155_sentence-1.wav,1.065,1.106,0.041,d,@,r,N00583_female_60,False,o,d
fn001155_sentence-10.wav,6.986,7.027,0.041,m,f,E,N00583_female_60,False,o,m
fn001155_sentence-10.wav,10.803,10.864,0.061,r,o,d,N00583_female_60,False,o,r
fn001155_sentence-10.wav,2.502,2.564,0.062,A,f,n,N00583_female_60,False,o,ɑ
fn001155_sentence-10.wav,10.692,10.733,0.041,h,i,o,N00583_female_60,False,o,h
fn001155_sentence-10.wav,10.09,10.13,0.04,@,s,l,N00583_female_60,False,o,ə
fn001155_sentence-10.wav,10.864,10.924,0.06,d,r,@,N00583_female_60,False,o,d
fn001155_sentence-10.wav,5.142,5.203,0.061,O,f,r,N00583_female_60,False,o,ɔ
fn001155_sentence-10.wav,14.131,14.172,0.041,r,e,@,N00583_female_60,False,o,r
fn001155_sentence-10.wav,14.567,14.617,0.05,d,E+,@,N00583_female_60,False,o,d
fn001155_sentence-10.wav,10.13,10.181,0.051,l,@,s,N00583_female_60,False,o,l
fn001155_sentence-10.wav,14.253,14.303,0.05,l,@,d,N00583_female_60,False,o,l
fn001155_sentence-10.wav,3.812,3.863,0.051,t,k,@,N00583_female_60,False,o,t
fn001155_sentence-10.wav,7.364,7.415,0.051,l,e,@,N00583_female_60,False,o,l
fn001155_sentence-10.wav,11.207,11.247,0.04,E+,z,n,N00583_female_60,False,o,ɛi
fn001155_sentence-10.wav,5.666,5.707,0.041,A,f,n,N00583_female_60,False,o,ɑ
fn001155_sentence-10.wav,11.57,11.61,0.04,@,d,x,N00583_female_60,False,o,ə
fn001155_sentence-10.wav,5.314,5.364,0.05,m,r,j,N00583_female_60,False,o,m
fn001155_sentence-10.wav,9.968,10.019,0.051,k,I,s,N00583_female_60,False,o,k
fn001155_sentence-10.wav,14.303,14.364,0.061,d,l,w,N00583_female_60,False,o,d
fn001155_sentence-10.wav,11.923,11.974,0.051,A,t,l,N00583_female_60,False,o,ɑ
fn001155_sentence-10.wav,12.619,12.66,0.041,k,N,S,N00583_female_60,False,o,k
fn001155_sentence-10.wav,9.634,9.675,0.041,r,A,m,N00583_female_60,False,o,r
fn001155_sentence-10.wav,0.0,0.041,0.041,w,SOS,A,N00583_female_60,False,o,ʋ
fn001155_sentence-10.wav,13.043,13.103,0.06,@,r,s,N00583_female_60,False,o,ə
fn001155_sentence-10.wav,4.921,4.981,0.06,n,y,i,N00583_female_60,False,o,n
fn001155_sentence-10.wav,5.827,5.878,0.051,t,@,l,N00583_female_60,False,o,t
fn001155_sentence-10.wav,2.564,2.615,0.051,n,A,f,N00583_female_60,False,o,n
fn001155_sentence-10.wav,14.617,14.658,0.041,@,d,x,N00583_female_60,False,o,ə
fn001155_sentence-10.wav,10.924,10.975,0.051,@,d,b,N00583_female_60,False,o,ə
fn001155_sentence-10.wav,3.863,3.913,0.05,@,t,h,N00583_female_60,False,o,ə
fn001155_sentence-10.wav,12.569,12.619,0.05,N,Y,k,N00583_female_60,False,o,ŋ
fn001155_sentence-11.wav,5.403,5.454,0.051,A,f,n,N00583_female_60,False,o,ɑ
fn001155_sentence-11.wav,3.565,3.615,0.05,t,s,@,N00583_female_60,False,o,t
fn001155_sentence-11.wav,2.302,2.353,0.051,A,m,s,N00583_female_60,False,o,ɑ
fn001155_sentence-11.wav,2.191,2.241,0.05,@,d,m,N00583_female_60,False,o,ə
fn001155_sentence-11.wav,4.747,4.798,0.051,s,t,@,N00583_female_60,False,o,s
fn001155_sentence-11.wav,2.11,2.161,0.051,m,O,d,N00583_female_60,False,o,m
fn001155_sentence-11.wav,4.828,4.879,0.051,I,@,n,N00583_female_60,False,o,ɪ
fn001155_sentence-11.wav,5.555,5.595,0.04,w,@,u,N00583_female_60,False,o,ʋ
fn001155_sentence-11.wav,2.928,2.969,0.041,@,d,k,N00583_female_60,False,o,ə
fn001155_sentence-11.wav,4.475,4.505,0.03,a,m,r,N00583_female_60,False,o,aː
fn001155_sentence-11.wav,4.798,4.828,0.03,@,s,I,N00583_female_60,False,o,ə
fn001155_sentence-11.wav,2.241,2.302,0.061,m,@,A,N00583_female_60,False,o,m
fn001155_sentence-11.wav,5.515,5.555,0.04,@,d,w,N00583_female_60,False,o,ə
fn001155_sentence-12.wav,1.411,1.451,0.04,n,E+,s,N00583_female_60,False,o,n
fn001155_sentence-12.wav,1.835,1.866,0.031,r,@,s,N00583_female_60,False,o,r
fn001155_sentence-12.wav,1.249,1.3,0.051,n,A,z,N00583_female_60,False,o,n
fn001155_sentence-12.wav,1.785,1.835,0.05,@,d,r,N00583_female_60,False,o,ə
fn001155_sentence-13.wav,0.081,0.142,0.061,x,n,r,N00583_female_60,False,o,x
fn001155_sentence-13.wav,1.607,1.658,0.051,d,E+,@,N00583_female_60,False,o,d
fn001155_sentence-13.wav,0.142,0.193,0.051,r,x,e,N00583_female_60,False,o,r
fn001155_sentence-14.wav,5.473,5.513,0.04,d,@,@,N00583_female_60,False,o,d
fn001155_sentence-14.wav,3.677,3.708,0.031,@,v,z,N00583_female_60,False,o,ə
fn001155_sentence-14.wav,2.692,2.732,0.04,@,E+,t,N00583_female_60,False,o,ə
fn001155_sentence-14.wav,0.061,0.122,0.061,r,d,i,N00583_female_60,False,o,r
fn001155_sentence-14.wav,2.53,2.581,0.051,@,d,h,N00583_female_60,False,o,ə
