audio_filename,start_time,end_time,duration,phoneme,previous_phoneme,next_phoneme,speaker_id,overlap,comp,ipa_phoneme
fn001155_sentence-1.wav,0.661,0.814,0.153,l,e,@,N00583_female_60,False,o,l
fn001155_sentence-1.wav,5.257,5.379,0.122,m,O,EOS,N00583_female_60,False,o,m
fn001155_sentence-1.wav,3.894,3.995,0.101,@,v,r,N00583_female_60,False,o,ə
fn001155_sentence-10.wav,13.757,13.858,0.101,@,n,d,N00583_female_60,False,o,ə
fn001155_sentence-10.wav,13.635,13.757,0.122,n,I,@,N00583_female_60,False,o,n
fn001155_sentence-10.wav,0.345,0.467,0.122,p,o,@,N00583_female_60,False,o,p
fn001155_sentence-10.wav,1.685,1.847,0.162,x,@,x,N00583_female_60,False,o,x
fn001155_sentence-10.wav,5.203,5.314,0.111,r,O,m,N00583_female_60,False,o,r
fn001155_sentence-10.wav,1.188,1.299,0.111,d,l,r,N00583_female_60,False,o,d
fn001155_sentence-10.wav,0.528,0.761,0.233,x,@,d,N00583_female_60,False,o,x
fn001155_sentence-11.wav,0.0,0.101,0.101,r,SOS,e,N00583_female_60,False,o,r
fn001155_sentence-11.wav,1.851,2.023,0.172,t,E+,O,N00583_female_60,False,o,t
fn001155_sentence-13.wav,0.94,1.122,0.182,v,e,Y+,N00583_female_60,False,o,v
fn001155_sentence-13.wav,0.445,0.566,0.121,m,E,m,N00583_female_60,False,o,m
fn001155_sentence-13.wav,0.445,0.566,0.121,m,m,E,N00583_female_60,False,o,m
fn001155_sentence-13.wav,2.355,2.537,0.182,t,s,EOS,N00583_female_60,False,o,t
fn001155_sentence-14.wav,0.122,0.305,0.183,i,r,v,N00583_female_60,False,o,iː
fn001155_sentence-14.wav,0.723,0.957,0.234,i,v,r,N00583_female_60,False,o,iː
fn001155_sentence-15.wav,1.472,1.603,0.131,p,r,@,N00583_female_60,False,o,p
fn001155_sentence-15.wav,3.426,3.538,0.112,@,n,r,N00583_female_60,False,o,ə
fn001155_sentence-15.wav,1.351,1.472,0.121,r,O,p,N00583_female_60,False,o,r
fn001155_sentence-16.wav,4.287,4.449,0.162,l,o,e,N00583_female_60,False,o,l
fn001155_sentence-16.wav,0.0,0.098,0.098,r,SOS,e,N00583_female_60,False,o,r
fn001155_sentence-16.wav,3.694,3.816,0.122,v,m,A,N00583_female_60,False,o,v
fn001155_sentence-16.wav,2.881,3.033,0.152,N,I,m,N00583_female_60,False,o,ŋ
fn001155_sentence-16.wav,4.651,4.792,0.141,k,e,A,N00583_female_60,False,o,k
fn001155_sentence-19.wav,1.603,1.715,0.112,@,G,r,N00583_female_60,False,o,ə
fn001155_sentence-19.wav,1.897,2.028,0.131,N,A,I,N00583_female_60,False,o,ŋ
fn001155_sentence-19.wav,2.028,2.159,0.131,I,N,n,N00583_female_60,False,o,ɪ
fn001155_sentence-20.wav,3.806,3.958,0.152,v,n,I,N00583_female_60,False,o,v
fn001155_sentence-22.wav,1.56,1.682,0.122,w,@,a,N00583_female_60,False,o,ʋ
fn001155_sentence-24.wav,3.53,3.651,0.121,m,k,a,N00583_female_60,False,o,m
fn001155_sentence-24.wav,7.545,7.687,0.142,m,m,a,N00583_female_60,False,o,m
fn001155_sentence-24.wav,7.545,7.687,0.142,m,E,m,N00583_female_60,False,o,m
fn001155_sentence-28.wav,0.364,0.495,0.131,v,E+,E,N00583_female_60,False,o,v
fn001155_sentence-28.wav,4.024,4.134,0.11,I,r,n,N00583_female_60,False,o,ɪ
fn001155_sentence-29.wav,7.058,7.179,0.121,r,O,m,N00583_female_60,False,o,r
fn001155_sentence-3.wav,0.492,0.654,0.162,d,@,@,N00583_female_60,False,o,d
fn001155_sentence-3.wav,3.898,3.999,0.101,d,n,@,N00583_female_60,False,o,d
fn001155_sentence-41.wav,0.545,0.687,0.142,b,g,Y+,N00583_female_60,False,o,b
fn001158_sentence-108.wav,4.201,4.332,0.131,N,r,@,N00583_female_60,False,o,ŋ
fn001158_sentence-111.wav,1.131,1.259,0.128,w,a,a,N00583_female_60,False,o,ʋ
fn001158_sentence-111.wav,2.92,3.021,0.101,w,@,e,N00583_female_60,False,o,ʋ
fn001158_sentence-13.wav,0.199,0.418,0.219,y,n,w,N00583_female_60,False,o,yː
fn001158_sentence-16.wav,4.963,5.054,0.091,w,E+,I,N00583_female_60,False,o,ʋ
fn001158_sentence-38.wav,0.862,0.995,0.133,N,I,v,N00583_female_60,False,o,ŋ
fn001017_sentence-0.wav,2.391,2.542,0.151,k,r,EOS,N00512_female_41,False,o,k
fn001017_sentence-1.wav,1.14,1.242,0.102,@,t,d,N00512_female_41,False,o,ə
fn001017_sentence-10.wav,3.535,3.636,0.101,r,@,o,N00512_female_41,False,o,r
fn001017_sentence-10.wav,7.935,8.149,0.214,y,t,r,N00512_female_41,False,o,yː
fn001017_sentence-10.wav,5.844,5.966,0.122,I,n,n,N00512_female_41,False,o,ɪ
fn001017_sentence-10.wav,3.829,3.951,0.122,m,o,@,N00512_female_41,False,o,m
fn001017_sentence-10.wav,4.763,4.935,0.172,i,r,s,N00512_female_41,False,o,iː
fn001017_sentence-14.wav,4.365,4.527,0.162,i,r,A+,N00512_female_41,False,o,iː
fn001017_sentence-14.wav,2.347,2.455,0.108,I,t,s,N00512_female_41,False,o,ɪ
fn001017_sentence-15.wav,0.426,0.548,0.122,n,I,v,N00512_female_41,False,o,n
fn001017_sentence-18.wav,2.732,2.883,0.151,x,A,EOS,N00512_female_41,False,o,x
fn001017_sentence-21.wav,2.209,2.32,0.111,@,s,d,N00512_female_41,False,o,ə
fn001017_sentence-22.wav,3.728,3.971,0.243,m,O,2,N00512_female_41,False,o,m
