audio_filename,start_time,end_time,duration,phoneme,previous_phoneme,next_phoneme,speaker_id,overlap,comp,ipa_phoneme
fn001155_sentence-0.wav,0.213,0.265,0.052,t,s,Y,N00583_female_60,False,o,t
fn001155_sentence-0.wav,0.0,0.058,0.058,h,SOS,o,N00583_female_60,False,o,h
fn001155_sentence-0.wav,0.058,0.12,0.062,o,h,f,N00583_female_60,False,o,oː
fn001155_sentence-1.wav,2.3,2.35,0.05,j,E+,A,N00583_female_60,False,o,j
fn001155_sentence-1.wav,4.722,4.793,0.071,s,x,E,N00583_female_60,False,o,s
fn001155_sentence-1.wav,3.54,3.601,0.061,E,l,n,N00583_female_60,False,o,ɛ
fn001155_sentence-1.wav,2.593,2.654,0.061,A,f,n,N00583_female_60,False,o,ɑ
fn001155_sentence-1.wav,2.35,2.411,0.061,A,j,n,N00583_female_60,False,o,ɑ
fn001155_sentence-1.wav,2.877,2.937,0.06,z,n,i,N00583_female_60,False,o,z
fn001155_sentence-1.wav,4.53,4.601,0.071,z,@,I,N00583_female_60,False,o,z
fn001155_sentence-1.wav,5.197,5.257,0.06,O,r,m,N00583_female_60,False,o,ɔ
fn001155_sentence-1.wav,5.035,5.096,0.061,d,f,a,N00583_female_60,False,o,d
fn001155_sentence-1.wav,3.702,3.783,0.081,E+,h,v,N00583_female_60,False,o,ɛi
fn001155_sentence-1.wav,0.599,0.661,0.062,e,@,l,N00583_female_60,False,o,eː
fn001155_sentence-1.wav,0.814,0.876,0.062,@,l,d,N00583_female_60,False,o,ə
fn001155_sentence-1.wav,4.076,4.136,0.06,f,A,s,N00583_female_60,False,o,f
fn001155_sentence-1.wav,1.652,1.713,0.061,O,f,r,N00583_female_60,False,o,ɔ
fn001155_sentence-1.wav,0.385,0.456,0.071,t,r,s,N00583_female_60,False,o,t
fn001155_sentence-1.wav,1.217,1.278,0.061,x,u,@,N00583_female_60,False,o,x
fn001155_sentence-1.wav,5.096,5.156,0.06,a,d,r,N00583_female_60,False,o,aː
fn001155_sentence-1.wav,4.47,4.53,0.06,@,d,z,N00583_female_60,False,o,ə
fn001155_sentence-1.wav,1.49,1.551,0.061,i,n,f,N00583_female_60,False,o,iː
fn001155_sentence-1.wav,2.654,2.715,0.061,n,A,z,N00583_female_60,False,o,n
fn001155_sentence-1.wav,1.146,1.217,0.071,u,r,x,N00583_female_60,False,o,uː
fn001155_sentence-10.wav,3.691,3.752,0.061,Y,r,k,N00583_female_60,False,o,ʉ
fn001155_sentence-10.wav,14.071,14.131,0.06,e,w,r,N00583_female_60,False,o,eː
fn001155_sentence-10.wav,11.247,11.308,0.061,n,E+,w,N00583_female_60,False,o,n
fn001155_sentence-10.wav,2.932,3.003,0.071,r,t,a,N00583_female_60,False,o,r
fn001155_sentence-10.wav,0.041,0.112,0.071,A,w,n,N00583_female_60,False,o,ɑ
fn001155_sentence-10.wav,7.569,7.63,0.061,r,t,E,N00583_female_60,False,o,r
fn001155_sentence-10.wav,14.891,14.951,0.06,n,e,s,N00583_female_60,False,o,n
fn001155_sentence-10.wav,4.719,4.78,0.061,k,i,@,N00583_female_60,False,o,k
fn001155_sentence-10.wav,13.103,13.174,0.071,s,@,b,N00583_female_60,False,o,s
fn001155_sentence-10.wav,14.364,14.435,0.071,w,d,E+,N00583_female_60,False,o,ʋ
fn001155_sentence-10.wav,11.691,11.752,0.061,h,x,E+,N00583_female_60,False,o,h
fn001155_sentence-10.wav,4.427,4.487,0.06,@,d,S,N00583_female_60,False,o,ə
fn001155_sentence-10.wav,12.448,12.508,0.06,f,@,Y,N00583_female_60,False,o,f
fn001155_sentence-10.wav,9.675,9.725,0.05,m,r,s,N00583_female_60,False,o,m
fn001155_sentence-10.wav,7.63,7.701,0.071,E,r,s,N00583_female_60,False,o,ɛ
fn001155_sentence-10.wav,10.531,10.602,0.071,d,s,i,N00583_female_60,False,o,d
fn001155_sentence-10.wav,13.949,14.01,0.061,@,d,w,N00583_female_60,False,o,ə
fn001155_sentence-10.wav,2.247,2.308,0.061,E,x,k,N00583_female_60,False,o,ɛ
fn001155_sentence-10.wav,0.112,0.173,0.061,n,A,h,N00583_female_60,False,o,n
fn001155_sentence-10.wav,8.59,8.651,0.061,@,r,e,N00583_female_60,False,o,ə
fn001155_sentence-10.wav,4.185,4.256,0.071,I,z,x,N00583_female_60,False,o,ɪ
fn001155_sentence-10.wav,11.308,11.378,0.07,w,n,a,N00583_female_60,False,o,ʋ
fn001155_sentence-10.wav,12.791,12.861,0.07,n,o,a,N00583_female_60,False,o,n
fn001155_sentence-10.wav,14.83,14.891,0.061,e,m,n,N00583_female_60,False,o,eː
fn001155_sentence-10.wav,5.425,5.495,0.07,A,j,s,N00583_female_60,False,o,ɑ
fn001155_sentence-10.wav,12.508,12.569,0.061,Y,f,N,N00583_female_60,False,o,ʉ
fn001155_sentence-10.wav,14.769,14.83,0.061,m,@,e,N00583_female_60,False,o,m
fn001155_sentence-10.wav,8.905,8.976,0.071,l,o,E,N00583_female_60,False,o,l
fn001155_sentence-10.wav,5.878,5.938,0.06,l,t,E+,N00583_female_60,False,o,l
fn001155_sentence-10.wav,1.553,1.614,0.061,t,f,@,N00583_female_60,False,o,t
fn001155_sentence-10.wav,2.186,2.247,0.061,x,x,E,N00583_female_60,False,o,x
fn001155_sentence-10.wav,9.138,9.198,0.06,@,t,E,N00583_female_60,False,o,ə
fn001155_sentence-10.wav,15.032,15.103,0.071,x,s,A,N00583_female_60,False,o,x
fn001155_sentence-10.wav,7.027,7.089,0.062,E,m,@,N00583_female_60,False,o,ɛ
fn001155_sentence-10.wav,8.53,8.59,0.06,r,a,@,N00583_female_60,False,o,r
fn001155_sentence-10.wav,11.52,11.57,0.05,d,r,@,N00583_female_60,False,o,d
fn001155_sentence-10.wav,5.767,5.827,0.06,@,n,t,N00583_female_60,False,o,ə
fn001155_sentence-10.wav,5.364,5.425,0.061,j,m,A,N00583_female_60,False,o,j
fn001155_sentence-10.wav,1.38,1.441,0.061,I,r,f,N00583_female_60,False,o,ɪ
fn001155_sentence-10.wav,14.658,14.719,0.061,x,@,@,N00583_female_60,False,o,x
fn001155_sentence-10.wav,14.719,14.769,0.05,@,x,m,N00583_female_60,False,o,ə
fn001155_sentence-10.wav,15.103,15.184,0.081,A,x,p,N00583_female_60,False,o,ɑ
fn001155_sentence-10.wav,4.78,4.84,0.06,@,k,y,N00583_female_60,False,o,ə
fn001155_sentence-10.wav,14.01,14.071,0.061,w,@,e,N00583_female_60,False,o,ʋ
fn001155_sentence-10.wav,10.733,10.803,0.07,o,h,r,N00583_female_60,False,o,oː
fn001155_sentence-10.wav,3.187,3.249,0.062,s,t,i,N00583_female_60,False,o,s
fn001155_sentence-10.wav,12.004,12.084,0.08,s,l,h,N00583_female_60,False,o,s
fn001155_sentence-10.wav,1.137,1.188,0.051,l,O,d,N00583_female_60,False,o,l
fn001155_sentence-10.wav,8.976,9.036,0.06,E,l,t,N00583_female_60,False,o,ɛ
fn001155_sentence-10.wav,12.397,12.448,0.051,@,G,f,N00583_female_60,False,o,ə
fn001155_sentence-10.wav,2.615,2.676,0.061,f,n,r,N00583_female_60,False,o,f
fn001155_sentence-10.wav,8.358,8.418,0.06,w,z,a,N00583_female_60,False,o,ʋ
fn001155_sentence-10.wav,12.972,13.043,0.071,r,a,@,N00583_female_60,False,o,r
fn001155_sentence-10.wav,2.676,2.738,0.062,r,f,Y,N00583_female_60,False,o,r
fn001155_sentence-10.wav,0.467,0.528,0.061,@,p,x,N00583_female_60,False,o,ə
fn001155_sentence-10.wav,5.616,5.666,0.05,f,s,A,N00583_female_60,False,o,f
fn001155_sentence-10.wav,4.361,4.427,0.066,d,x,@,N00583_female_60,False,o,d
fn001155_sentence-10.wav,9.441,9.512,0.071,n,E,A,N00583_female_60,False,o,n
fn001155_sentence-10.wav,2.809,2.87,0.061,s,Y,t,N00583_female_60,False,o,s
fn001155_sentence-10.wav,3.752,3.812,0.06,k,Y,t,N00583_female_60,False,o,k
fn001155_sentence-10.wav,5.707,5.767,0.06,n,A,@,N00583_female_60,False,o,n
fn001155_sentence-10.wav,12.73,12.791,0.061,o,S,n,N00583_female_60,False,o,oː
fn001155_sentence-10.wav,0.964,1.025,0.061,d,x,O,N00583_female_60,False,o,d
fn001155_sentence-10.wav,7.415,7.477,0.062,@,l,t,N00583_female_60,False,o,ə
fn001155_sentence-10.wav,8.651,8.712,0.061,e,@,p,N00583_female_60,False,o,eː
fn001155_sentence-10.wav,9.827,9.887,0.06,t,s,I,N00583_female_60,False,o,t
fn001155_sentence-10.wav,2.87,2.932,0.062,t,s,r,N00583_female_60,False,o,t
fn001155_sentence-10.wav,11.842,11.923,0.081,t,E+,A,N00583_female_60,False,o,t
fn001155_sentence-11.wav,4.939,4.99,0.051,@,n,t,N00583_female_60,False,o,ə
fn001155_sentence-11.wav,6.413,6.473,0.06,r,@,@,N00583_female_60,False,o,r
fn001155_sentence-11.wav,0.961,1.032,0.071,Y,x,n,N00583_female_60,False,o,ʉ
fn001155_sentence-11.wav,3.676,3.737,0.061,m,@,a,N00583_female_60,False,o,m
fn001155_sentence-11.wav,1.194,1.254,0.06,I,z,x,N00583_female_60,False,o,ɪ
fn001155_sentence-11.wav,4.535,4.596,0.061,l,r,i,N00583_female_60,False,o,l
fn001155_sentence-11.wav,4.687,4.747,0.06,t,i,s,N00583_female_60,False,o,t
fn001155_sentence-11.wav,2.878,2.928,0.05,d,A+,@,N00583_female_60,False,o,d
fn001155_sentence-11.wav,3.05,3.11,0.06,n,k,o,N00583_female_60,False,o,n
fn001155_sentence-11.wav,3.323,3.393,0.07,l,@,O,N00583_female_60,False,o,l
fn001155_sentence-11.wav,4.99,5.05,0.06,t,@,s,N00583_female_60,False,o,t
fn001155_sentence-11.wav,2.474,2.544,0.07,i,s,f,N00583_female_60,False,o,iː
fn001155_sentence-11.wav,5.928,5.989,0.061,n,E+,s,N00583_female_60,False,o,n
fn001155_sentence-11.wav,4.879,4.939,0.06,n,I,@,N00583_female_60,False,o,n
fn001155_sentence-11.wav,3.615,3.676,0.061,@,t,m,N00583_female_60,False,o,ə
