Region,Sex,IPA,N,Duration_ms,F0,F1,F2,F3
NSD,F,ɑ,20,94,226,758,1280,2895
NSD,F,a,20,214,194,912,1572,2852
NSD,F,ɛ,20,101,220,535,1990,2871
NSD,F,e,20,177,207,442,2343,2908
NSD,F,ø,20,184,201,445,1713,2550
NSD,F,ɪ,20,89,221,399,2276,2883
NSD,F,i,20,92,248,294,2524,2911
NSD,F,ɔ,20,96,218,419,918,3013
NSD,F,u,20,98,249,286,938,2736
NSD,F,o,20,183,201,445,964,2417
NSD,F,ʏ,20,89,246,417,1830,2711
NSD,F,y,20,96,245,305,1918,2635
NSD,M,ɑ,20,96,149,578,1172,2435
NSD,M,a,20,203,134,670,1425,2485
NSD,M,ɛ,20,95,154,475,1739,2492
NSD,M,e,20,181,131,400,1995,2583
NSD,M,ø,20,184,142,375,1563,2241
NSD,M,ɪ,20,82,154,361,1919,2536
NSD,M,i,20,94,157,278,2162,2665
NSD,M,ɔ,20,90,152,402,821,2851
NSD,M,u,20,98,164,259,805,2253
NSD,M,o,20,184,139,412,929,2306
NSD,M,ʏ,20,88,154,366,1595,2345
NSD,M,y,20,93,162,259,1734,2205
SSD,F,ɑ,20,107,225,725,1262,3041
SSD,F,a,20,240,203,868,1640,3031
SSD,F,ɛ,20,101,224,581,1932,2978
SSD,F,e,20,192,219,436,2420,3021
SSD,F,ø,20,200,217,439,1804,2666
SSD,F,ɪ,20,88,256,455,2115,2948
SSD,F,i,20,147,234,317,2647,3312
SSD,F,ɔ,20,97,233,475,987,3133
SSD,F,u,20,128,237,321,1019,2871
SSD,F,o,20,210,215,418,968,2992
SSD,F,ʏ,20,89,249,457,1785,2884
SSD,F,y,20,153,236,337,2077,2634
SSD,M,ɑ,20,90,126,555,1066,2655
SSD,M,a,20,204,116,717,1429,2651
SSD,M,ɛ,20,86,128,475,1616,2572
SSD,M,e,20,169,119,384,1993,2616
SSD,M,ø,20,175,121,374,1539,2377
SSD,M,ɪ,20,76,135,364,1745,2566
SSD,M,i,20,96,148,278,2179,2787
SSD,M,ɔ,20,83,136,398,850,2665
SSD,M,u,20,99,149,266,978,2422
SSD,M,o,20,182,125,369,862,2540
SSD,M,ʏ,20,77,138,353,1492,2514
SSD,M,y,20,109,144,265,1825,2348
