Sex,Speaker,Vowel,IPA,F1,F2,F3,L1,L2,L3
m,1,oe,u,320,630,2560,6,13,48
m,1,aa,a,780,1300,2460,6,8,30
m,1,oo,o,500,940,2420,3,12,35
m,1,a,\as,720,1060,2420,3,8,27
m,1,eu,\o/,430,1580,2260,2,24,36
m,1,ie,i,280,2300,2780,14,22,27
m,1,uu,y,320,1680,2140,6,23,30
m,1,ee,e,420,2000,2620,5,20,23
m,1,u,\yc,420,1540,2380,4,19,24
m,1,e,\ep,600,1720,2700,3,17,29
m,1,o,\ct,520,1000,2520,4,13,31
m,1,i,\ic,350,2000,2520,7,19,18
m,2,oe,u,440,780,2600,7,20,35
m,2,aa,a,940,1300,2780,5,13,26
m,2,oo,o,500,740,2700,7,11,32
m,2,a,\as,800,1000,2480,11,11,31
m,2,eu,\o/,460,1500,2300,10,20,20
m,2,ie,i,320,2400,3040,9,28,27
m,2,uu,y,340,1600,2050,7,30,32
m,2,ee,e,420,2200,2650,4,10,12
m,2,u,\yc,540,1370,2320,6,23,31
m,2,e,\ep,760,1660,2600,8,13,18
m,2,o,\ct,560,800,2800,5,17,37
m,2,i,\ic,430,2030,2660,7,18,17
m,3,oe,u,280,740,2160,8,32,46
m,3,aa,a,860,1500,2580,7,13,19
m,3,oo,o,480,820,2280,4,11,33
m,3,a,\as,680,1020,2460,9,14,25
m,3,eu,\o/,360,1520,2080,5,16,21
m,3,ie,i,270,2040,2860,5,18,18
m,3,uu,y,280,1600,1900,5,16,21
m,3,ee,e,380,1940,2580,5,15,17
m,3,u,\yc,400,1520,2120,4,21,24
m,3,e,\ep,560,1840,2520,7,18,22
m,3,o,\ct,500,820,2520,3,11,30
m,3,i,\ic,350,2000,2660,4,15,19
m,4,oe,u,360,820,2220,6,11,30
m,4,aa,a,840,1300,2280,9,7,22
m,4,oo,o,500,900,2320,7,13,35
m,4,a,\as,680,1000,2480,12,12,27
m,4,eu,\o/,440,1320,2060,5,12,27
m,4,ie,i,240,2060,2580,5,20,23
m,4,uu,y,300,1540,2020,4,18,24
m,4,ee,e,460,1920,2460,7,18,17
m,4,u,\yc,480,1320,2200,6,15,22
m,4,e,\ep,660,1660,2340,7,16,21
m,4,o,\ct,500,800,2520,7,14,34
m,4,i,\ic,440,1920,2380,3,19,18
m,5,oe,u,440,880,2300,6,22,41
m,5,aa,a,820,1420,2180,6,7,28
m,5,oo,o,540,960,2460,4,10,28
m,5,a,\as,780,1040,2620,8,10,32
m,5,eu,\o/,540,1540,2160,2,17,19
m,5,ie,i,300,2300,2900,5,23,30
m,5,uu,y,360,1860,2200,2,15,15
m,5,ee,e,520,1960,2400,4,21,21
m,5,u,\yc,560,1440,2280,2,17,27
m,5,e,\ep,700,1720,2300,7,13,22
m,5,o,\ct,600,880,3000,5,5,25
m,5,i,\ic,560,1920,2400,5,22,25
m,6,oe,u,260,700,2550,3,24,45
m,6,aa,a,820,1460,2760,10,15,27
m,6,oo,o,450,900,2460,19,20,45
m,6,a,\as,700,1080,2660,13,22,32
m,6,eu,\o/,460,1750,2300,7,32,40
m,6,ie,i,240,2500,3000,3,33,37
m,6,uu,y,260,2100,2500,10,37,43
m,6,ee,e,300,2320,2860,8,26,26
m,6,u,\yc,440,1700,2660,7,27,32
m,6,e,\ep,560,2080,2840,12,15,16
m,6,o,\ct,550,900,2740,7,25,30
m,6,i,\ic,340,2340,3000,8,31,31
m,7,oe,u,280,860,2340,5,15,33
m,7,aa,a,800,1320,2540,7,14,26
m,7,oo,o,520,920,2600,8,15,33
m,7,a,\as,600,1000,2760,7,7,25
m,7,eu,\o/,450,1660,2260,7,20,24
m,7,ie,i,260,2340,2640,3,17,20
m,7,uu,y,280,1780,2160,3,25,29
m,7,ee,e,400,2040,2400,9,19,21
m,7,u,\yc,460,1560,2400,4,19,22
m,7,e,\ep,620,1760,2560,6,18,25
m,7,o,\ct,560,960,2760,9,16,33
m,7,i,\ic,340,2000,2600,6,14,18
m,8,oe,u,320,880,2200,6,16,40
m,8,aa,a,800,1160,2600,6,13,26
m,8,oo,o,560,980,2360,5,8,35
m,8,a,\as,700,1080,2540,10,14,34
m,8,eu,\o/,500,1480,2300,8,17,29
m,8,ie,i,280,2080,2620,3,27,27
m,8,uu,y,320,1760,2060,4,25,32
m,8,ee,e,400,1940,2540,9,17,22
m,8,u,\yc,400,1560,2280,6,18,28
m,8,e,\ep,540,1860,2540,4,14,19
m,8,o,\ct,560,920,2320,8,13,32
m,8,i,\ic,340,1960,2480,6,13,17
m,9,oe,u,300,680,2400,3,19,32
m,9,aa,a,860,1300,2660,12,18,26
m,9,oo,o,500,940,2500,3,13,33
m,9,a,\as,700,1120,2620,9,17,24
m,9,eu,\o/,500,1500,2280,3,17,22
m,9,ie,i,300,2380,2960,2,20,22
m,9,uu,y,300,1760,2160,1,19,23
m,9,ee,e,480,2100,2580,4,15,15
m,9,u,\yc,500,1580,2400,5,12,22
m,9,e,\ep,640,1700,2620,3,15,19
m,9,o,\ct,560,900,2940,4,8,31
m,9,i,\ic,400,2040,2600,7,17,19
m,10,oe,u,360,900,2220,11,21,46
m,10,aa,a,880,1400,2660,9,17,29
m,10,oo,o,460,940,2400,3,13,37
m,10,a,\as,660,1040,2660,5,5,31
m,10,eu,\o/,460,1580,2360,4,22,26
m,10,ie,i,340,2200,2920,14,30,26
m,10,uu,y,400,1880,2800,12,19,33
m,10,ee,e,460,2080,2800,4,18,17
m,10,u,\yc,460,1480,2260,5,27,31
m,10,e,\ep,600,1860,2640,7,18,23
m,10,o,\ct,520,860,2880,2,24,32
m,10,i,\ic,460,2100,2800,6,19,22
m,11,oe,u,320,830,2060,5,16,45
m,11,aa,a,820,1340,2200,7,9,26
m,11,oo,o,520,840,2040,7,13,31
m,11,a,\as,660,1060,2300,8,9,28
