Sex,Speaker,Vowel,IPA,F1,F2,F3,L1,L2,L3
f,51,oe,u,250,800,2450,0,8,45
f,51,aa,a,950,1500,2650,5,14,30
f,51,oo,o,500,1050,2600,3,5,38
f,51,a,\as,720,1100,2950,8,2,24
f,51,eu,\o/,500,1800,2500,6,14,30
f,51,ie,i,280,2500,3100,0,32,26
f,51,uu,y,250,1700,2200,0,18,21
f,51,ee,e,500,2350,2750,2,12,12
f,51,u,\yc,520,1550,2400,4,15,27
f,51,e,\ep,750,2000,2600,4,20,20
f,51,o,\ct,550,900,2800,6,3,34
f,51,i,\ic,480,2150,2650,5,20,22
f,52,oe,u,300,750,2700,0,10,50
f,52,aa,a,1100,1500,3000,6,9,28
f,52,oo,o,520,900,2800,2,8,30
f,52,a,\as,800,1150,3000,2,12,34
f,52,eu,\o/,450,1600,2950,2,22,31
f,52,ie,i,250,2700,3300,0,27,31
f,52,uu,y,300,1900,2650,0,23,33
f,52,ee,e,550,2300,3000,0,17,22
f,52,u,\yc,450,1900,2800,0,20,32
f,52,e,\ep,700,2150,3100,0,22,30
f,52,o,\ct,600,950,2800,0,10,40
f,52,i,\ic,350,2450,2900,0,27,28
f,53,oe,u,350,800,2700,0,19,50
f,53,aa,a,1000,1450,2800,7,7,34
f,53,oo,o,500,1000,2600,4,11,45
f,53,a,\as,650,1000,2700,7,1,29
f,53,eu,\o/,460,1650,2400,2,21,35
f,53,ie,i,250,2450,2900,0,30,26
f,53,uu,y,250,1750,2500,0,22,31
f,53,ee,e,480,2600,3600,4,22,33
f,53,u,\yc,450,1650,2600,2,16,32
f,53,e,\ep,650,2450,2800,6,19,20
f,53,o,\ct,650,1050,2800,1,10,42
f,53,i,\ic,350,2600,3200,0,24,35
f,54,oe,u,350,750,2500,1,10,36
f,54,aa,a,1000,1550,2900,6,14,18
f,54,oo,o,450,950,2450,2,6,30
f,54,a,\as,800,1100,3200,6,6,26
f,54,eu,\o/,450,1900,2400,3,14,14
f,54,ie,i,250,2450,3050,0,15,22
f,54,uu,y,300,1900,2350,0,12,15
f,54,ee,e,450,2250,2850,3,16,12
f,54,u,\yc,430,1700,2650,2,12,17
f,54,e,\ep,600,2250,2950,4,12,15
f,54,o,\ct,600,850,3200,4,3,30
f,54,i,\ic,430,2500,3000,2,16,24
f,55,oe,u,300,900,2700,0,12,42
f,55,aa,a,750,1600,2800,2,15,24
f,55,oo,o,480,950,2600,2,13,32
f,55,a,\as,800,1200,2900,3,13,30
f,55,eu,\o/,430,1500,2600,1,20,25
f,55,ie,i,250,2800,3150,-1,22,32
f,55,uu,y,300,1400,2500,0,24,28
f,55,ee,e,420,2400,2900,2,27,27
f,55,u,\yc,500,1650,2850,1,16,25
f,55,e,\ep,750,1900,3000,4,25,30
f,55,o,\ct,600,1200,2850,3,17,23
f,55,i,\ic,490,1950,2900,2,29,28
f,56,oe,u,300,750,2350,2,8,37
f,56,aa,a,950,1400,2400,2,12,23
f,56,oo,o,650,1100,2200,4,8,34
f,56,a,\as,900,1100,2600,2,6,26
f,56,eu,\o/,490,1700,2400,1,18,24
f,56,ie,i,300,2500,2800,0,16,21
f,56,uu,y,300,1800,2400,0,10,14
f,56,ee,e,470,2400,2750,2,17,19
f,56,u,\yc,570,1750,2550,0,17,18
f,56,e,\ep,700,1750,2400,0,10,16
f,56,o,\ct,600,1200,2500,0,18,28
f,56,i,\ic,440,2250,2700,0,17,18
f,57,oe,u,350,850,2600,-1,16,38
f,57,aa,a,950,1200,2900,7,9,40
f,57,oo,o,550,1050,2500,2,6,38
f,57,a,\as,850,1200,2800,-1,12,39
f,57,eu,\o/,440,1800,2500,0,24,30
f,57,ie,i,300,2300,3000,-1,22,30
f,57,uu,y,350,1850,2400,-1,23,27
f,57,ee,e,460,2400,2900,1,28,30
f,57,u,\yc,490,1650,2700,1,22,28
f,57,e,\ep,650,1700,2750,2,28,28
f,57,o,\ct,450,700,3000,6,2,33
f,57,i,\ic,440,2550,3000,1,40,41
f,58,oe,u,350,1000,2500,2,19,40
f,58,aa,a,950,1400,2700,8,14,29
f,58,oo,o,500,950,2450,6,10,34
f,58,a,\as,850,1230,2950,8,19,42
f,58,eu,\o/,520,1650,2600,6,22,28
f,58,ie,i,250,2500,3000,0,25,30
f,58,uu,y,250,1750,2300,0,23,29
f,58,ee,e,510,2250,2850,4,30,24
f,58,u,\yc,650,1600,2600,6,18,26
f,58,e,\ep,720,1750,2650,4,19,27
f,58,o,\ct,750,1150,2650,2,15,37
f,58,i,\ic,510,2050,2950,2,22,23
f,59,oe,u,300,850,2650,0,14,43
f,59,aa,a,950,1350,2700,4,6,25
f,59,oo,o,550,900,2700,5,4,37
f,59,a,\as,930,1300,2800,0,15,35
f,59,eu,\o/,550,1500,2400,0,10,22
f,59,ie,i,280,2450,3000,0,13,21
f,59,uu,y,300,1650,2400,0,26,32
f,59,ee,e,530,2400,3000,0,4,14
f,59,u,\yc,600,1600,2000,0,14,16
f,59,e,\ep,850,1950,2800,1,12,19
f,59,o,\ct,750,1050,2900,2,4,32
f,59,i,\ic,550,2300,2800,1,14,22
f,60,oe,u,350,800,2500,0,21,44
f,60,aa,a,1100,1450,2900,5,9,31
f,60,oo,o,400,850,2600,0,5,46
f,60,a,\as,750,1050,2950,4,9,25
f,60,eu,\o/,420,1650,2550,0,17,38
f,60,ie,i,300,2450,3050,-1,28,35
f,60,uu,y,280,1850,2500,-1,20,30
f,60,ee,e,420,2400,2800,1,25,29
f,60,u,\yc,420,1500,2350,0,22,34
f,60,e,\ep,650,1850,2800,2,28,31
f,60,o,\ct,550,800,2800,4,7,44
f,60,i,\ic,420,2350,2750,2,27,28
f,61,oe,u,300,800,2850,-1,22,54
f,61,aa,a,1150,1550,2850,6,9,26
f,61,oo,o,600,1000,2700,3,9,30
f,61,a,\as,750,1100,2700,2,10,34
f,61,eu,\o/,500,1800,2550,3,17,24
f,61,ie,i,250,2400,3100,0,27,35
f,61,uu,y,250,2000,3650,0,30,36
f,61,ee,e,420,2400,2900,5,28,31
f,61,u,\yc,470,1700,2500,4,26,37
f,61,e,\ep,700,1880,2650,2,21,26
f,61,o,\ct,650,900,2650,5,4,33
f,61,i,\ic,490,2250,2650,3,22,26
f,62,oe,u,300,900,2500,-1,20,39
f,62,aa,a,950,1500,2700,3,16,20
f,62,oo,o,450,1000,2650,2,8,35
f,62,a,\as,600,1050,2800,4,4,33
f,62,eu,\o/,420,1650,2500,1,14,22
f,62,ie,i,250,2300,2850,0,30,24
f,62,uu,y,300,1800,2300,-1,21,28
f,62,ee,e,400,2100,2700,0,29,20
f,62,u,\yc,420,1650,2450,0,17,28
f,62,e,\ep,550,1800,2650,2,19,20
f,62,o,\ct,450,1050,2800,2,10,26
f,62,i,\ic,420,1850,2700,0,27,26
f,63,oe,u,300,850,2800,0,19,47
f,63,aa,a,1100,1400,2800,6,10,25
f,63,oo,o,550,900,2900,2,16,44
f,63,a,\as,700,1050,2750,4,6,33
f,63,eu,\o/,490,1700,2500,0,33,35
f,63,ie,i,300,2500,2950,0,40,35
f,63,uu,y,300,1900,2450,0,24,36
f,63,ee,e,500,2500,3000,4,31,32
f,63,u,\yc,460,1450,2500,6,33,38
f,63,e,\ep,700,1700,2700,1,18,30
f,63,o,\ct,500,800,2700,2,6,38
f,63,i,\ic,550,2250,2750,3,28,26
f,64,oe,u,350,900,3600,0,16,44
f,64,aa,a,950,1420,2950,5,7,26
f,64,oo,o,400,1000,2400,0,12,36
f,64,a,\as,600,950,2650,4,7,31
f,64,eu,\o/,420,1400,2500,1,21,24
f,64,ie,i,300,2500,2850,0,26,27
f,64,uu,y,250,1450,2200,0,29,36
f,64,ee,e,420,1950,2700,0,20,20
f,64,u,\yc,410,1550,2400,0,20,28
f,64,e,\ep,600,1650,2600,3,9,21
f,64,o,\ct,430,880,2950,2,6,32
f,64,i,\ic,410,1950,2250,0,31,30
f,65,oe,u,350,1000,2350,0,29,41
f,65,aa,a,850,1100,2800,2,5,25
f,65,oo,o,600,1000,2800,2,6,30
f,65,a,\as,850,1400,2600,1,20,31
f,65,eu,\o/,470,2000,2550,2,16,18
f,65,ie,i,250,2650,3250,0,31,40
f,65,uu,y,300,2000,2400,0,23,24
f,65,ee,e,430,2400,2900,1,22,27
f,65,u,\yc,460,1900,2500,2,25,28
f,65,e,\ep,650,1900,2900,2,19,23
f,65,o,\ct,600,900,2400,3,7,35
f,65,i,\ic,460,2400,2900,1,26,27
f,66,oe,u,300,850,3300,0,20,52
f,66,aa,a,1050,1400,2450,6,8,31
f,66,oo,o,500,950,2400,4,10,44
f,66,a,\as,850,1050,2850,6,7,37
f,66,eu,\o/,480,1650,2300,2,14,32
f,66,ie,i,300,3000,4200,0,32,36
f,66,uu,y,300,1900,2450,0,27,37
f,66,ee,e,460,2450,3000,1,32,30
f,66,u,\yc,500,1550,3100,2,18,40
f,66,e,\ep,650,1800,2700,2,22,32
f,66,o,\ct,450,750,2850,4,2,38
f,66,i,\ic,440,2200,2900,0,30,29
f,67,oe,u,320,850,2500,0,18,50
f,67,aa,a,1100,1350,2900,7,9,25
f,67,oo,o,450,900,2600,2,8,39
f,67,a,\as,800,1200,2800,2,14,32
f,67,eu,\o/,480,1800,2500,2,24,29
f,67,ie,i,300,2600,3000,0,32,32
f,67,uu,y,300,1900,2400,0,25,28
f,67,ee,e,460,2300,2900,2,26,29
f,67,u,\yc,480,1800,2650,2,27,28
f,67,e,\ep,650,1850,3000,4,22,34
f,67,o,\ct,550,800,2850,4,4,30
f,67,i,\ic,470,2200,3000,2,28,33
f,68,oe,u,350,750,2550,0,14,48
f,68,aa,a,1050,1700,2850,0,14,22
f,68,oo,o,550,1000,2600,3,4,32
f,68,a,\as,750,1150,2950,5,3,30
f,68,eu,\o/,550,1750,2600,2,12,19
f,68,ie,i,300,2400,3000,0,21,22
f,68,uu,y,300,1950,2500,0,18,22
f,68,ee,e,510,2200,3000,1,24,27
f,68,u,\yc,490,1750,2450,2,23,29
f,68,e,\ep,600,2200,3000,3,14,23
f,68,o,\ct,700,850,2900,6,6,38
f,68,i,\ic,540,2200,3000,9,22,22
f,69,oe,u,350,950,2800,0,24,51
f,69,aa,a,1000,1500,2900,6,10,26
f,69,oo,o,450,950,2800,2,16,48
f,69,a,\as,700,1050,3000,5,5,35
f,69,eu,\o/,450,1700,2450,4,23,28
f,69,ie,i,250,2600,3000,0,28,34
f,69,uu,y,330,1900,2700,0,30,42
f,69,ee,e,520,2500,2900,2,28,30
f,69,u,\yc,450,1700,2800,1,24,30
f,69,e,\ep,700,1850,3000,2,23,24
f,69,o,\ct,600,900,3150,2,12,38
f,69,i,\ic,490,2400,3100,2,35,31
f,70,oe,u,300,950,2650,1,21,29
f,70,aa,a,680,1250,2600,3,23,50
f,70,oo,o,400,850,2700,3,16,44
f,70,a,\as,500,1050,3000,4,13,42
f,70,eu,\o/,390,1550,2500,2,28,35
f,70,ie,i,250,2300,2900,0,36,38
f,70,uu,y,250,1950,3600,0,34,45
f,70,ee,e,420,2100,2600,2,25,34
f,70,u,\yc,420,2100,2600,2,26,34
f,70,e,\ep,600,1500,2800,5,25,36
f,70,o,\ct,450,750,2800,2,11,48
f,70,i,\ic,440,2050,2700,1,27,38
f,71,oe,u,330,750,2900,1,8,44
f,71,aa,a,1150,1500,2750,3,8,35
f,71,oo,o,530,950,2850,0,8,40
f,71,a,\as,850,1050,3000,5,5,36
f,71,eu,\o/,500,1700,2700,0,20,31
f,71,ie,i,300,2600,3100,-1,23,28
f,71,uu,y,300,1800,2400,0,22,27
f,71,ee,e,520,2550,3050,0,22,26
f,71,u,\yc,520,1650,2550,0,20,28
f,71,e,\ep,700,1850,2900,0,16,24
f,71,o,\ct,650,1100,2900,-1,11,36
f,71,i,\ic,450,2300,2800,0,16,17
f,72,oe,u,300,850,2800,0,15,42
f,72,aa,a,1080,1400,2750,2,3,21
f,72,oo,o,480,950,2300,0,6,30
f,72,a,\as,800,1100,2800,3,3,28
f,72,eu,\o/,470,1800,2500,0,12,23
f,72,ie,i,300,2350,2850,-1,31,31
f,72,uu,y,300,2100,2600,-1,25,31
f,72,ee,e,460,2600,2900,0,20,23
f,72,u,\yc,470,1800,2500,0,16,29
f,72,e,\ep,600,2000,2700,2,13,11
f,72,o,\ct,500,750,2650,4,2,24
f,72,i,\ic,500,2300,2750,0,20,22
f,73,oe,u,350,700,2800,0,10,46
f,73,aa,a,950,1500,2900,0,19,23
f,73,oo,o,530,980,2850,0,14,34
f,73,a,\as,750,1100,3000,4,1,27
f,73,eu,\o/,520,1800,2450,2,20,25
f,73,ie,i,300,2550,2950,0,22,24
f,73,uu,y,300,1950,2450,0,30,31
f,73,ee,e,500,2300,2800,0,21,29
f,73,u,\yc,550,1700,2750,0,21,24
f,73,e,\ep,650,1850,2700,-1,16,20
f,73,o,\ct,650,980,2650,1,4,34
f,73,i,\ic,500,2400,2800,4,16,18
f,74,oe,u,300,900,2900,0,12,45
f,74,aa,a,900,1650,2850,1,6,23
f,74,oo,o,500,900,2300,0,4,39
f,74,a,\as,750,1150,2750,2,6,27
f,74,eu,\o/,550,1650,2500,0,16,24
f,74,ie,i,300,2500,2850,0,27,34
f,74,uu,y,250,1850,2300,0,30,26
f,74,ee,e,490,2400,2850,2,16,18
f,74,u,\yc,520,1800,2450,3,22,23
f,74,e,\ep,650,2100,2800,2,14,13
f,74,o,\ct,550,1100,3900,2,11,32
f,74,i,\ic,510,2350,2950,1,24,23
f,75,oe,u,300,800,3700,0,13,50
f,75,aa,a,1000,1450,2650,4,7,24
f,75,oo,o,550,1000,2850,8,10,43
f,75,a,\as,750,1050,3000,2,6,33
f,75,eu,\o/,500,1550,2400,4,16,25
f,75,ie,i,250,2400,2950,0,26,24
f,75,uu,y,300,1800,2400,0,26,26
f,75,ee,e,490,2300,2800,8,15,20
f,75,u,\yc,550,1550,2500,1,14,25
f,75,e,\ep,700,1950,2750,0,4,13
f,75,o,\ct,630,980,2850,5,7,39
f,75,i,\ic,490,2300,2900,4,17,22
