Type,Sex,Speaker,Vowel,IPA,F0,F1,F2,F3
m,m,1,oe,u,182,335,748,2332
m,m,1,aa,a,160,787,1372,3313
m,m,1,oo,o,164,488,911,2362
m,m,1,a,\as,170,671,1005,2822
m,m,1,eu,\o/,165,472,1585,2344
m,m,1,ie,i,176,314,2149,3215
m,m,1,uu,y,180,293,1791,2177
m,m,1,ee,e,161,454,1982,2673
m,m,1,u,\yc,165,396,1624,2374
m,m,1,e,\ep,165,502,1902,2632
m,m,1,o,\ct,170,435,669,2886
m,m,1,i,\ic,164,393,2120,2694
m,m,2,oe,u,161,308,709,2222
m,m,2,aa,a,145,758,1244,2658
m,m,2,oo,o,148,510,907,2532
m,m,2,a,\as,153,645,1004,2604
m,m,2,eu,\o/,145,454,1388,2308
m,m,2,ie,i,158,303,1984,2835
m,m,2,uu,y,162,314,1620,2111
m,m,2,ee,e,156,460,1748,2442
m,m,2,u,\yc,155,449,1489,2279
m,m,2,e,\ep,150,580,1679,2383
m,m,2,o,\ct,155,461,760,2632
m,m,2,i,\ic,150,429,1888,2502
m,m,3,oe,u,124,343,719,2107
m,m,3,aa,a,125,850,1328,2299
m,m,3,oo,o,125,532,937,2044
m,m,3,a,\as,126,721,1135,2077
m,m,3,eu,\o/,129,481,1438,2203
m,m,3,ie,i,121,275,2081,2882
m,m,3,uu,y,127,270,1705,2068
m,m,3,ee,e,131,464,1949,2536
m,m,3,u,\yc,131,390,1307,2177
m,m,3,e,\ep,124,645,1854,2488
m,m,3,o,\ct,124,519,818,1975
m,m,3,i,\ic,129,377,2044,2638
m,m,4,oe,u,119,322,590,2146
m,m,4,aa,a,107,818,1333,2312
m,m,4,oo,o,106,489,845,2157
m,m,4,a,\as,120,708,1126,2302
m,m,4,eu,\o/,109,422,1518,2116
m,m,4,ie,i,119,268,2189,2950
m,m,4,uu,y,115,298,1581,2162
m,m,4,ee,e,108,420,2075,2495
m,m,4,u,\yc,109,406,1505,2133
m,m,4,e,\ep,108,550,1905,2383
m,m,4,o,\ct,110,438,703,2392
m,m,4,i,\ic,109,400,2151,2870
m,m,5,oe,u,132,282,656,2355
m,m,5,aa,a,117,732,1356,2562
m,m,5,oo,o,117,482,797,2531
m,m,5,a,\as,115,723,1036,2456
m,m,5,eu,\o/,119,466,1484,2139
m,m,5,ie,i,122,255,2390,2787
m,m,5,uu,y,129,271,1642,2154
m,m,5,ee,e,114,441,2020,2392
m,m,5,u,\yc,118,454,1516,2178
m,m,5,e,\ep,122,601,1858,2315
m,m,5,o,\ct,118,462,662,2852
m,m,5,i,\ic,120,353,2114,2507
m,m,6,oe,u,155,275,560,2397
m,m,6,aa,a,137,696,1262,2778
m,m,6,oo,o,149,419,831,1824
m,m,6,a,\as,142,674,1113,2455
m,m,6,eu,\o/,148,422,1599,2319
m,m,6,ie,i,152,281,2324,3124
m,m,6,uu,y,157,291,1585,2160
m,m,6,ee,e,146,426,2174,2786
m,m,6,u,\yc,148,419,1493,2242
m,m,6,e,\ep,140,560,1941,2722
m,m,6,o,\ct,141,395,705,2802
m,m,6,i,\ic,144,358,2269,2936
m,m,7,oe,u,165,315,703,2304
m,m,7,aa,a,140,807,1478,2390
m,m,7,oo,o,130,471,838,2391
m,m,7,a,\as,135,713,1218,2466
m,m,7,eu,\o/,135,504,1520,2268
m,m,7,ie,i,145,302,2255,2887
m,m,7,uu,y,151,341,1738,2246
m,m,7,ee,e,133,400,2198,2551
m,m,7,u,\yc,126,467,1639,2227
m,m,7,e,\ep,137,587,2024,2516
m,m,7,o,\ct,138,531,837,2338
m,m,7,i,\ic,140,379,2183,2614
m,m,8,oe,u,179,361,730,2256
m,m,8,aa,a,156,921,1409,2909
m,m,8,oo,o,165,495,961,2405
m,m,8,a,\as,162,642,988,2308
m,m,8,eu,\o/,175,505,1546,2443
m,m,8,ie,i,176,285,2288,2817
m,m,8,uu,y,177,341,1705,2291
m,m,8,ee,e,153,492,2102,2778
m,m,8,u,\yc,166,451,1482,2657
m,m,8,e,\ep,158,628,1777,2903
m,m,8,o,\ct,168,500,714,2782
m,m,8,i,\ic,173,364,2126,2907
m,m,9,oe,u,180,358,700,2672
m,m,9,aa,a,168,855,1311,2701
m,m,9,oo,o,169,557,856,2727
m,m,9,a,\as,178,685,1075,2677
m,m,9,eu,\o/,170,502,1385,2112
m,m,9,ie,i,176,318,2252,2846
m,m,9,uu,y,178,348,1504,2129
m,m,9,ee,e,159,509,1941,2732
m,m,9,u,\yc,170,499,1496,2725
m,m,9,e,\ep,165,582,1920,2773
m,m,9,o,\ct,177,524,759,2784
m,m,9,i,\ic,169,422,2186,2816
m,m,10,oe,u,161,277,592,2493
m,m,10,aa,a,144,753,1306,2617
m,m,10,oo,o,137,392,692,2512
m,m,10,a,\as,142,642,991,2707
