source,record_level,gender,ipa,n_speakers,n_tokens,aggregation,bootstrap_seed,bootstrap_replicates,confidence,f0_hz,f0_hz_ci_low,f0_hz_ci_high,f1_hz,f1_hz_ci_low,f1_hz_ci_high,f2_hz,f2_hz_ci_low,f2_hz_ci_high,f3_hz,f3_hz_ci_low,f3_hz_ci_high,b1_hz,b1_hz_ci_low,b1_hz_ci_high,b2_hz,b2_hz_ci_low,b2_hz_ci_high,b3_hz,b3_hz_ci_low,b3_hz_ci_high
gender_formants,group_summary,female,ɪ,30,4354,median of per-speaker medians,0,1000,0.95,190.53192810497742,178.56716266702446,201.90113737041398,410.52730784023487,387.59955779086874,428.7574472123447,2364.1843547505878,2270.0724709400374,2400.1378362315536,2942.647446667128,2840.752836751215,3068.274909724379,94.36758785538936,82.40321148922108,108.80444131424828,219.6711337985123,200.10639670276814,264.88023743208873,277.2288704402966,251.84003134740396,316.2857379177447
gender_formants,group_summary,female,ɛ,25,4601,median of per-speaker medians,0,1000,0.95,179.00481536413076,171.9834761082788,187.1693439957437,607.5161976666852,567.1125283643355,642.2521523978157,1906.3727407975387,1869.9562986416458,1996.8246542722113,2774.2239360247577,2738.4695978238547,2862.775308483585,201.13265047471992,180.36152404331006,215.4175571512737,220.8705159567351,202.03190047272295,273.0122336534928,274.02465166910383,247.19051993439342,322.5748267727963
gender_formants,group_summary,female,ɑ,19,4398,median of per-speaker medians,0,1000,0.95,181.9022261507025,166.68321879191365,188.50409477900337,687.7791878832227,606.2236644049448,752.6527094378056,1200.3518734607387,1162.7275386126776,1264.3200745375552,2809.6453728161046,2742.6340814689947,2898.0451786910603,285.0558251989907,245.64305569961496,328.51839142075096,155.4499271812304,148.4917894276428,204.18237525012515,302.6245948805182,254.26067932356213,336.3818333610422
gender_formants,group_summary,female,ɔ,28,4061,median of per-speaker medians,0,1000,0.95,186.01119312177963,174.1000565021462,194.55293553538573,510.2348376953205,475.2020100495818,533.5729696285939,969.8513625193066,947.6073549780215,992.0292062693686,2925.7219931087225,2854.547630782985,2991.345398629631,187.97280739222438,146.56239137781418,225.70376198231003,145.47899417288204,120.06377824942746,176.291943299842,358.4953133870665,274.65079894647226,380.6219235556289
gender_formants,group_summary,female,ʉ,177,5827,median of per-speaker medians,0,1000,0.95,189.37042810450413,186.73046176843906,195.21829821872103,414.7630393199297,410.503436970219,424.0318879492709,1626.0892089833794,1613.8121041351283,1643.2762580882654,2660.555008005293,2648.597027771155,2705.3582059641903,96.78794278895153,89.74145801853467,106.50796420404349,189.3650184145662,181.74307965052708,201.52058810734897,300.2500094826561,266.59762837773866,319.50329526085244
gender_formants,group_summary,female,iː,32,4360,median of per-speaker medians,0,1000,0.95,191.93578295993234,184.71489271095447,197.7475330113954,306.82245668529765,290.4684850277289,318.3532664205989,2570.791107660243,2528.89407634637,2607.762260464928,3042.5872756127146,2988.3827739626367,3131.44079457059,66.40348683725877,59.57582178202189,82.0349321704814,246.56650027820237,190.86191917760723,268.4092844139163,367.6891392254391,336.3894822955665,382.22227155602707
gender_formants,group_summary,female,eː,25,4415,median of per-speaker medians,0,1000,0.95,184.0084671832961,176.2206474662106,189.02470581852128,415.67847698396173,397.2005695113748,446.1593358778681,2411.1161397140127,2360.722532377687,2499.4841208573603,2905.867447216056,2819.3275332532176,3033.722616952866,86.25220260127922,72.83725307513747,108.70292896585161,221.36773241598652,190.26982686008608,301.6049295788581,324.2497048005854,300.007734294922,344.2139741488087
gender_formants,group_summary,female,aː,22,4695,median of per-speaker medians,0,1000,0.95,175.31634224672615,167.08119472349847,182.8617558768534,854.1510907465329,767.301700755917,897.675889383539,1548.452438430636,1515.6740343594554,1602.4368267367909,2606.594555959264,2558.482497878602,2683.68324756311,299.306755046734,253.15111142850122,345.3352827846062,231.7030884936604,215.3336611502033,287.4637852855566,310.1476890428738,265.9667868628213,342.5057206027926
gender_formants,group_summary,female,oː,28,4199,median of per-speaker medians,0,1000,0.95,183.85516051412378,174.8864542179962,189.82727636519024,462.3346926260841,442.8544448323948,496.19334183754097,956.8125080852813,925.7584636374893,992.11078066542,2724.0184566139233,2665.735417049722,2800.4476968190233,153.42325457076174,107.49392274340639,188.1079403041026,88.31912308360147,75.767729466513,117.64342226704116,296.51027346636454,238.07223775808635,362.03017563853393
gender_formants,group_summary,female,uː,73,4453,median of per-speaker medians,0,1000,0.95,201.25497681942585,195.4557601174249,208.9767007798152,348.0331074045177,341.69169920021415,358.3254785286716,974.4761830345651,948.3374819920348,989.1589926630584,2805.7390437415734,2772.830254916208,2875.2415860728215,125.06628568167021,114.85719418732597,141.11241251151338,197.77475290341079,173.06422251370174,227.97350087269047,411.68007847791705,356.9067210892697,472.4054876770291
gender_formants,group_summary,female,ə,11,5005,median of per-speaker medians,0,1000,0.95,169.10677274242033,161.58077642430888,205.71666146747106,397.72329092019925,349.9684813542699,449.73373727517713,1681.2482361578109,1645.0294115042234,1782.002807203095,2892.2648895805833,2788.45604789403,2967.376918604489,150.49750257042743,144.3331203506889,216.43487274519003,255.9969539155269,189.1422840875949,313.8044755109823,324.83847522285265,219.10346963804028,395.21393789687374
gender_formants,group_summary,male,ɪ,39,8542,median of per-speaker medians,0,1000,0.95,118.53024155691358,110.13917734219189,128.78007633975488,367.28195418026706,359.85021122463434,377.23829261130294,1913.749574306827,1887.7163911728421,1959.0621856097564,2538.951040760847,2481.7339973184744,2575.636312538169,74.57565891462912,66.68333769960572,101.6005562016411,161.99094393342443,147.08305217596947,187.23975217685341,242.29850571187941,207.4043939104768,273.5757327633818
gender_formants,group_summary,male,ɛ,34,8167,median of per-speaker medians,0,1000,0.95,112.66496145016413,108.57576565125336,120.6804984814852,515.8003988226561,497.3448949010964,521.0159631926527,1623.2371348581605,1588.4550577458976,1692.8392763339311,2430.205806852763,2370.722003219623,2474.8036793546717,128.0704826897008,118.35872560827205,141.3962905813287,125.54887241724214,113.59566585538951,138.13918732811834,263.75742543938424,229.53844892169002,299.5557937222774
